ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
10237,23,100,4/5/2004 0:00,Shipped,Motorcycles,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,NA,Frick,Michael
10251,28,100,5/18/2004 0:00,Shipped,Motorcycles,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,Brown,William
10263,34,100,6/28/2004 0:00,Shipped,Motorcycles,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,United States,NA,King,Julie
10275,45,92.83,7/23/2004 0:00,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,Labrune,Janine
10285,36,100,8/27/2004 0:00,Shipped,Motorcycles,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,Hernandez,Marta
10299,23,100,9/30/2004 0:00,Shipped,Motorcycles,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10309,41,100,10/15/2004 0:00,Shipped,Motorcycles,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10318,46,94.74,11/2/2004 0:00,Shipped,Motorcycles,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Yu,Kyung
10329,42,100,11/15/2004 0:00,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,United States,NA,Yu,Kwai
10341,41,100,11/24/2004 0:00,Shipped,Motorcycles,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10361,20,72.55,12/17/2004 0:00,Shipped,Motorcycles,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
10375,21,34.91,2/3/2005 0:00,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,Labrune,Janine
10388,42,76.36,3/3/2005 0:00,Shipped,Motorcycles,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10403,24,100,4/8/2005 0:00,Shipped,Motorcycles,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10417,66,100,5/13/2005 0:00,Disputed,Motorcycles,S10_1678,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego
10103,26,100,1/29/2003 0:00,Shipped,Classic Cars,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10112,29,100,3/24/2003 0:00,Shipped,Classic Cars,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule†,,S-958 22,Sweden,EMEA,Berglund,Christina
10126,38,100,5/28/2003 0:00,Shipped,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,EMEA,Sommer,Mart¡n
10140,37,100,7/24/2003 0:00,Shipped,Classic Cars,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Hirano,Juri
10150,45,100,9/19/2003 0:00,Shipped,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Japan,Natividad,Eric
10163,21,100,10/20/2003 0:00,Shipped,Classic Cars,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,United States,NA,Hernandez,Maria
10174,34,100,11/6/2003 0:00,Shipped,Classic Cars,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
10183,23,100,11/13/2003 0:00,Shipped,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca
10194,42,100,11/25/2003 0:00,Shipped,Classic Cars,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,EMEA,Saveley,Mary
10206,47,100,12/5/2003 0:00,Shipped,Classic Cars,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi
10215,35,100,1/29/2004 0:00,Shipped,Classic Cars,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,United States,NA,Thompson,Steve
10228,29,100,3/10/2004 0:00,Shipped,Classic Cars,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,MA,51247,USA,NA,Tseng,Kyung
10245,34,100,5/4/2004 0:00,Shipped,Classic Cars,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,United States,NA,Murphy,Leslie
10258,32,100,6/15/2004 0:00,Shipped,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10270,21,100,7/19/2004 0:00,Shipped,Classic Cars,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
10280,34,100,8/17/2004 0:00,Shipped,Classic Cars,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy,EMEA,Accorti,Paolo
10291,37,100,9/8/2004 0:00,Shipped,Classic Cars,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Br„cke,,S-844 67,Sweden,EMEA,Larsson,Maria
10304,47,100,10/11/2004 0:00,Shipped,Classic Cars,S10_1949,Auto Associ‚s & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France,EMEA,Tonini,Daniel
10312,48,100,10/21/2004 0:00,Shipped,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10322,40,100,11/4/2004 0:00,Shipped,Classic Cars,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,NA,Young,Valarie
10333,26,100,11/18/2004 0:00,Shipped,Classic Cars,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,,United States,NA,Murphy,Julie
10347,30,100,11/29/2004 0:00,Shipped,Classic Cars,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10357,32,100,12/10/2004 0:00,Shipped,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,Nelson,Valarie
10369,41,100,1/20/2005 0:00,Shipped,Classic Cars,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,NA,Nelson,Allen
10381,36,100,2/17/2005 0:00,Shipped,Classic Cars,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,NA,Brown,Julie
10391,24,100,3/9/2005 0:00,Shipped,Classic Cars,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna
10411,23,100,5/1/2005 0:00,Shipped,Classic Cars,S10_1949,Qu‚bec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montr‚al,Qu‚bec,H1J 1C3,Canada,NA,FresniŠre,Jean
10424,50,100,5/31/2005 0:00,In Process,Classic Cars,S10_1949,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego
10107,39,99.91,2/24/2003 0:00,Shipped,Motorcycles,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Yu,Kwai
10120,29,96.34,4/29/2003 0:00,Shipped,Motorcycles,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10134,27,100,7/1/2003 0:00,Shipped,Motorcycles,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,Da Cunha,Daniel
10145,37,100,8/25/2003 0:00,Shipped,Motorcycles,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,Young,Julie
10159,37,100,10/10/2003 0:00,Shipped,Motorcycles,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,NA,Brown,Julie
10168,27,100,10/28/2003 0:00,Shipped,Motorcycles,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Hirano,Juri
10180,42,100,11/11/2003 0:00,Shipped,Motorcycles,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chauss‚e de Tournai",Lille,,59000,France,EMEA,Ranc‚,Martine
10188,38,96.34,11/18/2003 0:00,Shipped,Motorcycles,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10201,24,100,12/1/2003 0:00,Shipped,Motorcycles,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,,USA,NA,Murphy,Julie
10210,23,100,1/12/2004 0:00,Shipped,Motorcycles,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
10223,47,100,2/20/2004 0:00,Shipped,Motorcycles,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10236,22,100,4/3/2004 0:00,Shipped,Motorcycles,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa
10251,44,100,5/18/2004 0:00,Shipped,Motorcycles,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,Brown,William
10263,40,100,6/28/2004 0:00,Shipped,Motorcycles,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA,King,Julie
10275,22,100,7/23/2004 0:00,Shipped,Motorcycles,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,Labrune,Janine
10285,47,100,8/27/2004 0:00,Shipped,Motorcycles,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,Hernandez,Marta
10298,39,96.34,9/27/2004 0:00,Shipped,Motorcycles,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,,44000,France,EMEA,Schmitt,Carine
10308,34,100,10/15/2004 0:00,Shipped,Motorcycles,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,NA,Frick,Steve
10318,45,100,11/2/2004 0:00,Shipped,Motorcycles,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Yu,Kyung
10329,20,100,11/15/2004 0:00,Shipped,Motorcycles,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Yu,Kwai
10339,40,68.92,11/23/2004 0:00,Shipped,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10361,26,51.15,12/17/2004 0:00,Shipped,Motorcycles,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
10374,39,100,2/2/2005 0:00,Shipped,Motorcycles,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
10388,50,44.51,3/3/2005 0:00,Shipped,Motorcycles,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10402,45,100,4/7/2005 0:00,Shipped,Motorcycles,S10_2016,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,EMEA,Perrier,Dominique
10417,45,100,5/13/2005 0:00,Disputed,Motorcycles,S10_2016,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego
10107,27,100,2/24/2003 0:00,Shipped,Motorcycles,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Yu,Kwai
10120,46,100,4/29/2003 0:00,Shipped,Motorcycles,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10134,31,100,7/1/2003 0:00,Shipped,Motorcycles,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,Da Cunha,Daniel
10145,33,100,8/25/2003 0:00,Shipped,Motorcycles,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,Young,Julie
10159,22,100,10/10/2003 0:00,Shipped,Motorcycles,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,NA,Brown,Julie
10168,20,100,10/28/2003 0:00,Shipped,Motorcycles,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Hirano,Juri
10180,41,100,11/11/2003 0:00,Shipped,Motorcycles,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chauss‚e de Tournai",Lille,,59000,France,EMEA,Ranc‚,Martine
10188,45,100,11/18/2003 0:00,Shipped,Motorcycles,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10201,49,100,12/1/2003 0:00,Shipped,Motorcycles,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,,USA,NA,Murphy,Julie
10210,34,100,1/12/2004 0:00,Shipped,Motorcycles,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
10223,49,100,2/20/2004 0:00,Shipped,Motorcycles,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10237,39,100,4/5/2004 0:00,Shipped,Motorcycles,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,NA,Frick,Michael
10251,43,100,5/18/2004 0:00,Shipped,Motorcycles,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,Brown,William
10263,41,100,6/28/2004 0:00,Shipped,Motorcycles,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA,King,Julie
10275,36,100,7/23/2004 0:00,Shipped,Motorcycles,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,Labrune,Janine
10285,27,100,8/27/2004 0:00,Shipped,Motorcycles,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,Hernandez,Marta
10299,29,100,9/30/2004 0:00,Shipped,Motorcycles,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10308,20,100,10/15/2004 0:00,Shipped,Motorcycles,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,NA,Frick,Steve
10318,37,100,11/2/2004 0:00,Shipped,Motorcycles,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Yu,Kyung
10329,26,100,11/15/2004 0:00,Shipped,Motorcycles,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Yu,Kwai
10339,39,76.67,11/23/2004 0:00,Shipped,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10362,22,100,1/5/2005 0:00,Shipped,Motorcycles,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Hirano,Juri
10374,22,100,2/2/2005 0:00,Shipped,Motorcycles,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
10388,21,86.77,3/3/2005 0:00,Shipped,Motorcycles,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10403,66,100,4/8/2005 0:00,Shipped,Motorcycles,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10417,56,100,5/13/2005 0:00,Disputed,Motorcycles,S10_4698,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego
10105,50,100,2/11/2003 0:00,Shipped,Classic Cars,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb‘ltet 34,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte
10119,46,100,4/28/2003 0:00,Shipped,Classic Cars,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10129,33,100,6/12/2003 0:00,Shipped,Classic Cars,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,,WX3 6FW,UK,EMEA,Brown,Ann
10143,49,100,8/10/2003 0:00,Shipped,Classic Cars,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,NA,Tam,Wing C
10155,32,100,10/6/2003 0:00,Shipped,Classic Cars,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10167,44,100,10/23/2003 0:00,Cancelled,Classic Cars,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Br„cke,,S-844 67,Sweden,EMEA,Larsson,Maria
10178,24,100,11/8/2003 0:00,Shipped,Classic Cars,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,,31000,France,EMEA,Roulet,Annette
10186,26,100,11/14/2003 0:00,Shipped,Classic Cars,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK,EMEA,Hardy,Thomas
10197,45,100,11/26/2003 0:00,Shipped,Classic Cars,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo
10209,39,100,1/9/2004 0:00,Shipped,Classic Cars,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,,USA,NA,Chandler,Michael
10222,49,100,2/19/2004 0:00,Shipped,Classic Cars,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,NA,Thompson,Valarie
10248,20,100,5/7/2004 0:00,Cancelled,Classic Cars,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Yu,Kwai
10261,27,100,6/17/2004 0:00,Shipped,Classic Cars,S10_4757,Qu‚bec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montr‚al,Qu‚bec,H1J 1C3,Canada,NA,FresniŠre,Jean
10273,30,100,7/21/2004 0:00,Shipped,Classic Cars,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine
10283,25,100,8/20/2004 0:00,Shipped,Classic Cars,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,NA,Lincoln,Elizabeth
10295,24,100,9/10/2004 0:00,Shipped,Classic Cars,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,NA,Yoshido,Juri
10307,22,100,10/14/2004 0:00,Shipped,Classic Cars,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca
10316,33,100,11/1/2004 0:00,Shipped,Classic Cars,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen
10325,47,64.93,11/5/2004 0:00,Shipped,Classic Cars,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10337,25,48.05,11/21/2004 0:00,Shipped,Classic Cars,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,NA,Hernandez,Maria
10350,26,75.47,12/2/2004 0:00,Shipped,Classic Cars,S10_4757,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego
10359,48,54.68,12/15/2004 0:00,Shipped,Classic Cars,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,EMEA,Henriot,Paul
10373,39,100,1/31/2005 0:00,Shipped,Classic Cars,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko
10384,34,100,2/23/2005 0:00,Shipped,Classic Cars,S10_4757,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,NA,Brown,Julie
10395,32,100,3/17/2005 0:00,Shipped,Classic Cars,S10_4757,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,Da Cunha,Daniel
10400,64,100,4/1/2005 0:00,Shipped,Classic Cars,S10_4757,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,NA,Frick,Sue
10414,19,100,5/6/2005 0:00,On Hold,Classic Cars,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,NA,Yoshido,Juri
10103,42,100,1/29/2003 0:00,Shipped,Classic Cars,S10_4962,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10114,31,100,4/1/2003 0:00,Shipped,Classic Cars,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,,75012,France,EMEA,Bertrand,Marie
10126,22,100,5/28/2003 0:00,Shipped,Classic Cars,S10_4962,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,EMEA,Sommer,Mart¡n
10140,26,100,7/24/2003 0:00,Shipped,Classic Cars,S10_4962,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Hirano,Juri
10150,20,100,9/19/2003 0:00,Shipped,Classic Cars,S10_4962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Japan,Natividad,Eric
10164,21,100,10/21/2003 0:00,Resolved,Classic Cars,S10_4962,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,,8010,Austria,EMEA,Mendel,Roland
10175,33,100,11/6/2003 0:00,Shipped,Classic Cars,S10_4962,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,,WX3 6FW,UK,EMEA,Brown,Ann
10183,28,100,11/13/2003 0:00,Shipped,Classic Cars,S10_4962,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca
10194,26,100,11/25/2003 0:00,Shipped,Classic Cars,S10_4962,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,EMEA,Saveley,Mary
